dataset name,AUC of VCNN,AUC of Deepbind
wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk,0.913843194,0.909546
wgEncodeAwgTfbsHaibSknshPol24h8V0416101UniPk,0.832315988,0.828083
wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk,0.95662382,0.952528
wgEncodeAwgTfbsHaibK562Pol24h8V0416101UniPk,0.824679829,0.820638
wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk,0.852885232,0.848882
wgEncodeAwgTfbsUtaMcf7Pol2UniPk,0.822242429,0.818262
wgEncodeAwgTfbsSydhGm18951NfkbTnfaIggrabUniPk,0.852804781,0.848884
wgEncodeAwgTfbsUtaGm12892CtcfUniPk,0.941091812,0.93727
wgEncodeAwgTfbsSydhMcf7Gata3sc269UcdUniPk,0.849903704,0.846241
wgEncodeAwgTfbsSydhMcf10aesCmycTam14hHvdUniPk,0.9065145,0.902889
wgEncodeAwgTfbsHaibSknshNrsfPcr2xUniPk,0.834306435,0.830741
wgEncodeAwgTfbsHaibH1hescRad21V0416102UniPk,0.965619913,0.962059
